# gname               ra          dec         era       edec      l         b          el        eb        Class                Speak   eSpeak   Sint     eSint   RMS    SNR     Yf     Reff   Npix   Alpha    eAlpha  
  G002.0122+00.7438   266.86807   -26.83037   6.71E-6   6.71E-6   2.01218   0.74384    6.41E-6   6.14E-6   PN                   5.73    0.36     8.19     0.45    0.18   32.63   1.43   1.05   55     -0.56    0.23    
  G002.0174+00.6687   266.94322   -26.86476   2.2E-5    2.2E-5    2.01743   0.66867    2.15E-5   2.01E-5   Other                1.13    0.14     0.94     0.13    0.13   9.08    0.83   0.61   19     -0.25    0.49    
  G002.0217+00.0011   267.58815   -27.20484   2.49E-5   2.49E-5   2.0217    0.00111    2.43E-5   2.28E-5   EgC                  0.93    0.13     0.78     0.12    0.12   8.01    0.84   0.61   19     0.18     0.37    
  G002.0381+00.4112   267.20249   -26.97995   7.46E-6   7.46E-6   2.03811   0.41121    7.25E-6   6.81E-6   EgC                  3.98    0.26     4.33     0.26    0.14   28.75   1.09   1.01   51     -0.35    0.18    
  G002.0410+01.0062   266.63358   -26.66978   1.49E-5   1.49E-5   2.04096   1.00615    1.44E-5   1.37E-5   EgC                  1.98    0.18     3.37     0.22    0.15   13.53   1.7    1.05   55     -0.86    0.4     
  G002.0422+00.4966   267.12285   -26.93241   9.01E-6   9.01E-6   2.04225   0.49655    8.74E-6   8.27E-6   EgC                  2.69    0.19     3.02     0.19    0.12   23.2    1.12   0.9    41     -0.98    0.27    
  G002.0751-00.0812   267.69841   -27.20119   1.6E-5    1.6E-5    2.07508   -0.08124   1.57E-5   1.47E-5   PN                   1.31    0.13     1.08     0.12    0.1    12.58   0.83   0.69   24     -0.28    0.45    
  G002.0808-00.4337   268.04263   -27.37632   1.76E-5   1.76E-5   2.08077   -0.43369   1.68E-5   1.61E-5   PN                   1.09    0.11     0.96     0.11    0.1    11.39   0.88   0.69   24     0.6      0.4     
  G002.0990-00.9050   268.51067   -27.60006   1.86E-5   1.86E-5   2.09895   -0.90498   1.81E-5   1.7E-5    EgC                  1.2     0.13     1.1      0.12    0.11   10.77   0.91   0.71   25     -0.51    0.38    
  G002.1037+00.4744   267.17965   -26.89117   1.38E-5   1.38E-5   2.10371   0.47442    1.35E-5   1.28E-5   EgC                  1.41    0.12     1.22     0.11    0.1    14.68   0.86   0.75   28     -0.25    0.32    
  G002.1363-00.3266   267.97074   -27.27395   2.37E-5   2.37E-5   2.13627   -0.32656   2.3E-5    2.18E-5   EgC                  0.81    0.11     0.66     0.1     0.1    8.44    0.82   0.6    18     0.47     0.7     
  G002.1388+00.9249   266.76806   -26.62824   1.91E-5   1.91E-5   2.13884   0.92494    1.88E-5   1.75E-5   EgC                  1.04    0.12     1.29     0.12    0.1    10.48   1.24   0.85   36     -0.13    0.34    
  G002.1416-00.0414   267.69821   -27.12362   8.23E-6   8.23E-6   2.14162   -0.04137   8.03E-6   7.67E-6   Radio-star           2.89    0.19     2.49     0.17    0.11   25.69   0.86   0.82   34     0.24     0.12    
  G002.1430+00.0093   267.65012   -27.09647   8.14E-6   8.14E-6   2.14302   0.00929    7.83E-6   7.51E-6   HII                  3.21    0.22     3.29     0.21    0.12   26.02   1.03   0.91   42     -0.45    0.19    
  G002.1465+00.7686   266.92214   -26.70261   1.07E-5   1.07E-5   2.1465    0.76863    1.04E-5   9.93E-6   EgC                  1.93    0.14     1.74     0.13    0.1    19.18   0.9    0.8    32     0.21     0.24    
  G002.1484-00.2457   267.89947   -27.22225   2.14E-5   2.14E-5   2.14839   -0.24568   2.08E-5   1.97E-5   EgC                  0.94    0.11     0.74     0.11    0.1    9.37    0.79   0.6    18     0.49     0.21    
  G002.1574-00.8025   268.44438   -27.49769   9.32E-6   9.32E-6   2.15745   -0.80245   9.12E-6   8.63E-6   EgC                  2.58    0.18     3.0      0.19    0.12   22.35   1.16   0.88   39     -1.19    0.23    
  G002.1579+01.0630   266.64708   -26.5403    9.04E-6   9.04E-6   2.15791   1.06304    8.74E-6   8.34E-6   EgC                  13.2    0.91     14.67    0.93    0.57   23.1    1.11   1.06   56     -0.13    0.94    
  G002.2038+00.4424   267.26816   -26.82191   1.04E-5   1.04E-5   2.20375   0.44242    1.01E-5   9.54E-6   EgC                  2.11    0.16     1.88     0.14    0.11   19.89   0.89   0.82   34     0.31     0.18    
  G002.2049-00.3334   268.01676   -27.21842   1.07E-5   1.07E-5   2.2049    -0.33344   1.03E-5   9.9E-6    EgC                  1.94    0.15     1.55     0.13    0.1    19.17   0.8    0.77   30     -0.39    0.31    
  G002.2095+00.7780   266.94967   -26.64383   2.84E-5   2.84E-5   2.20954   0.77797    2.78E-5   2.62E-5   EgC                  0.65    0.1      0.59     0.1     0.1    7.03    0.91   0.6    18     0.68     0.4     
  G002.2429-00.0711   267.78511   -27.05182   1.02E-5   1.02E-5   2.2429    -0.07111   9.93E-6   9.43E-6   EgC                  2.07    0.15     1.75     0.14    0.1    20.34   0.84   0.79   31     -0.44    0.22    
  G002.2596+00.9152   266.84725   -26.53      2.13E-5   2.13E-5   2.25957   0.91524    2.08E-5   1.99E-5   EgC                  0.9     0.11     0.9      0.11    0.1    9.4     1.0    0.71   25     -0.67    0.47    
  G002.2695-00.5084   268.22311   -27.25195   4.73E-6   4.73E-6   2.26945   -0.50842   4.62E-6   4.32E-6   PN                   8.87    0.51     10.34    0.54    0.17   52.34   1.17   1.1    61     -0.03    0.09    
  G002.2702+00.2454   267.49588   -26.86622   2.11E-5   2.11E-5   2.2702    0.24538    2.05E-5   1.97E-5   Radio-star           0.97    0.12     1.0      0.12    0.1    9.51    1.03   0.71   25     -0.07    0.6     
  G002.2725+00.9085   266.86113   -26.52246   2.69E-5   2.69E-5   2.27245   0.90851    2.6E-5    2.51E-5   EgC                  0.7     0.1      0.63     0.1     0.1    7.42    0.9    0.6    18     1.49     0.27    
  G002.2743+01.0007   266.77404   -26.47314   2.68E-5   2.68E-5   2.27428   1.00074    2.62E-5   2.46E-5   EgC                  1.04    0.15     1.41     0.16    0.14   7.44    1.36   0.77   30     -0.55    0.45    
  G002.2808-00.3455   268.07186   -27.15926   7.32E-6   7.32E-6   2.28079   -0.34545   7.22E-6   6.77E-6   EgC                  3.28    0.21     2.86     0.18    0.11   29.39   0.87   0.87   38     -0.38    0.14    
  G002.2848-00.1454   267.88086   -27.05371   8.93E-6   8.93E-6   2.28485   -0.14537   8.79E-6   8.38E-6   Radio-star           2.85    0.2      3.27     0.2     0.12   23.43   1.15   0.88   39     -1.31    0.23    
  G002.2850+00.5402   267.22115   -26.70195   2.23E-5   2.23E-5   2.28496   0.54019    2.19E-5   2.07E-5   Radio-star           0.91    0.11     0.82     0.11    0.1    8.97    0.91   0.65   21     -0.13    0.29    
  G002.2916-01.0246   268.73686   -27.49433   2.81E-5   2.81E-5   2.29159   -1.02456   2.71E-5   2.59E-5   EgC                  1.63    0.25     1.08     0.24    0.23   7.09    0.67   0.53   14     2.2      0.3     
  G002.3032+01.0528   266.7411    -26.42142   2.41E-5   2.41E-5   2.30323   1.05276    2.37E-5   2.24E-5   EgC                  3.08    0.41     2.74     0.4     0.37   8.28    0.89   0.65   21     0.76     1.13    
  G002.3079-00.8186   268.54588   -27.37612   2.25E-5   2.25E-5   2.30791   -0.81856   2.19E-5   2.08E-5   EgC                  0.96    0.12     0.7      0.12    0.11   8.88    0.73   0.56   16     0.27     0.39    
  G002.3139-00.0439   267.79965   -26.97689   2.27E-5   2.27E-5   2.31391   -0.04393   2.23E-5   2.06E-5   EgC                  0.84    0.11     0.65     0.1     0.1    8.82    0.77   0.6    18     -0.75    0.59    
  G002.3270-00.3886   268.14004   -27.14143   1.8E-5    1.8E-5    2.32702   -0.38859   1.75E-5   1.66E-5   EgC                  1.26    0.14     3.59     0.21    0.12   11.15   2.85   1.19   71     -1.21    0.28    
  G002.3318-01.0307   268.76573   -27.46269   1.74E-5   1.74E-5   2.33184   -1.0307    1.7E-5    1.61E-5   EgC                  2.96    0.3      2.02     0.28    0.26   11.57   0.68   0.6    18     0.09     0.48    
  G002.3638-00.9831   268.73761   -27.41106   1.14E-5   1.14E-5   2.36382   -0.9831    1.11E-5   1.04E-5   EgC                  2.51    0.19     2.0      0.17    0.14   17.9    0.79   0.75   28     -0.62    0.39    
  G002.3744-00.0934   267.88201   -26.95017   5.18E-6   5.18E-6   2.37439   -0.09338   5.09E-6   4.77E-6   PN                   7.32    0.44     9.16     0.49    0.17   45.7    1.25   1.08   59     -0.71    0.11    
  G002.3745-00.0942   267.88287   -26.95052   2.47E-5   2.47E-5   2.37449   -0.09421   2.38E-5   2.26E-5   PN                   1.34    0.18     1.87     0.19    0.17   8.1     1.39   0.8    32     1.52     0.39    
  G002.3901+00.7119   267.1172    -26.52334   4.97E-6   4.97E-6   2.3901    0.7119     4.79E-6   4.59E-6   EgC                  6.37    0.37     7.0      0.37    0.13   48.53   1.1    1.12   63     -1.02    0.13    
