# gname               ra          dec         era       edec      l         b          el                      eb                      Speak   eSpeak   Sint   eSint   RMS       SNR   Yf     Reff   Npix   Simb_class       GD_name           
  G001.9817+00.4085   267.17249   -27.02974   3.78E-5   3.78E-5   1.98167   0.40845    3.676272602365003E-5    3.53126647492243E-5     0.0     0.0      0.0    0.0     1.26E-4   5.3   0.99   0.5    14     none             NULL              
  G001.9820-00.5941   268.14159   -27.54298   3.75E-5   3.75E-5   1.98205   -0.59413   3.693102394692951E-5    3.410164521779729E-5    0.0     0.0      0.0    0.0     1.35E-4   5.3   0.8    0.5    12     none             NULL              
  G001.9872-00.5155   268.06827   -27.49851   3.77E-5   3.77E-5   1.98721   -0.51553   3.6457140272263064E-5   3.395190243102658E-5    0.0     0.0      0.0    0.0     1.22E-4   5.3   1.28   0.6    18     none             NULL              
  G002.0020+00.4964   267.0997    -26.96692   3.4E-5    3.4E-5    2.00204   0.49643    3.2897119048954566E-5   3.147429504541373E-5    0.0     0.0      0.0    0.0     1.91E-4   5.9   0.85   0.5    15     none             NULL              
  G002.0101+00.0865   267.49901   -27.17096   3.93E-5   3.93E-5   2.01011   0.08655    3.811743554972815E-5    3.638736264379775E-5    0.0     0.0      0.0    0.0     1.25E-4   5.1   0.98   0.5    13     none             NULL              
  G002.0206+00.1785   267.41642   -27.11475   3.77E-5   3.77E-5   2.02059   0.17848    3.6816128331942615E-5   3.448265950488483E-5    0.0     0.0      0.0    0.0     1.23E-4   5.3   0.9    0.5    13     none             NULL              
  G002.0312+00.3970   267.21216   -26.99319   3.7E-5    3.7E-5    2.03121   0.39701    3.638195216518772E-5    3.3876534090586426E-5   0.0     0.0      0.0    0.0     1.24E-4   5.4   0.92   0.5    13     none             NULL              
  G002.0359-00.2900   267.8777    -27.34157   3.9E-5    3.9E-5    2.03593   -0.28997   3.853524676485175E-5    3.569987173143419E-5    0.0     0.0      0.0    0.0     1.12E-4   5.1   0.85   0.5    11     none             NULL              
  G002.0366+01.0173   266.62039   -26.66772   3.53E-5   3.53E-5   2.0366    1.01729    3.4317070241754E-5      3.2862968460140585E-5   0.0     0.0      0.0    0.0     1.56E-4   5.6   0.68   0.5    12     none             NULL              
  G002.0493-01.0230   268.59725   -27.70257   3.69E-5   3.69E-5   2.04934   -1.02301   3.6005130265664465E-5   3.38320669510568E-5     0.0     0.0      0.0    0.0     2.49E-4   5.4   0.55   0.4    9      none             NULL              
  G002.0539-00.0130   267.62029   -27.18441   3.08E-5   3.08E-5   2.0539    -0.01297   2.9858709720766925E-5   2.8489182494653593E-5   0.0     0.0      0.0    0.0     1.06E-4   6.5   0.86   0.5    15     none             NULL              
  G002.0553-01.0535   268.63035   -27.71282   3.79E-5   3.79E-5   2.05531   -1.05347   3.672345288214631E-5    3.4681338512448137E-5   0.0     0.0      0.0    0.0     4.7E-4    5.3   0.81   0.5    12     none             NULL              
  G002.0598+00.8321   266.81112   -26.74391   3.93E-5   3.93E-5   2.05983   0.83209    3.8392013317117985E-5   3.6213413222584094E-5   0.0     0.0      0.0    0.0     9.84E-5   5.1   1.07   0.5    15     none             NULL              
  G002.0651-00.2293   267.83573   -27.28552   3.96E-5   3.96E-5   2.06506   -0.22928   3.825892964135345E-5    3.644192124282688E-5    0.0     0.0      0.0    0.0     9.6E-5    5.0   1.02   0.5    14     none             NULL              
  G002.0687+01.0083   266.64768   -26.64497   3.72E-5   3.72E-5   2.06872   1.00826    3.641413715945452E-5    3.428042004698509E-5    0.0     0.0      0.0    0.0     1.32E-4   5.4   0.73   0.5    12     none             NULL              
